Symbol,Name,ReportDate,FiscalDateEnding,Estimate,Currency
HUM,Humana Inc,2023-11-01,2023-09-30,7.19,USD
HWM,Howmet Aerospace Inc,2023-10-30,2023-09-30,0.43,USD
IBM,International Business Machines Corp,2023-10-25,2023-09-30,2.14,USD
ICE,Intercontinental Exchange Inc,2023-11-02,2023-09-30,1.39,USD
IDXX,Idexx Laboratories Inc,2023-11-01,2023-09-30,2.37,USD
IEX,Idex Corporation,2023-10-25,2023-09-30,1.88,USD
IFF,International Flavors & Fragrances Inc,2023-11-06,2023-09-30,0.78,USD
ILMN,Illumina Inc,2023-11-09,2023-09-30,0.13,USD
INCY,Incyte Corp,2023-10-30,2023-09-30,1.02,USD
INTC,Intel Corp,2023-10-26,2023-09-30,0.21,USD
INTU,Intuit Inc,2023-11-27,2023-10-31,1.98,USD
INVH,Invitation Homes Inc,2023-10-25,2023-09-30,0.17,USD
IP,International Paper Company,2023-10-26,2023-09-30,0.58,USD
IPG,Interpublic Group Of Cos. Inc,2023-10-19,2023-09-30,0.74,USD
IQV,IQVIA Holdings Inc,2023-10-24,2023-09-30,2.44,USD
IR,Ingersoll-Rand Inc,2023-11-01,2023-09-30,0.69,USD
IRM,Iron Mountain Inc,2023-11-01,2023-09-30,0.44,USD
ISRG,Intuitive Surgical Inc,2023-10-19,2023-09-30,1.41,USD
IT,Gartner Inc,2023-10-30,2023-09-30,1.96,USD
ITW,Illinois Tool Works Inc,2023-10-24,2023-09-30,2.46,USD
IVZ,Invesco Ltd,2023-10-24,2023-09-30,0.38,USD
J,Jacobs Solutions Inc,2023-11-20,2023-09-30,2.03,USD
JBHT,J.B. Hunt Transport Services Inc,2023-10-17,2023-09-30,1.86,USD
JCI,Johnson Controls International plc,2023-11-01,2023-09-30,1.1,USD
JKHY,Jack Henry & Associates Inc,2023-11-06,2023-09-30,1.32,USD
JNJ,Johnson & Johnson,2023-10-17,2023-09-30,2.51,USD
JNPR,Juniper Networks Inc,2023-10-26,2023-09-30,0.55,USD
JPM,JPMorgan Chase & Company,2023-10-13,2023-09-30,3.87,USD
K,Kellanova Company,2023-11-08,2023-09-30,0.95,USD
KDP,Keurig Dr Pepper Inc,2023-10-26,2023-09-30,0.47,USD
KEY,Keycorp,2023-10-19,2023-09-30,0.27,USD
KEYS,Keysight Technologies Inc,2023-11-15,2023-10-31,1.87,USD
KHC,Kraft Heinz Company,2023-10-24,2023-09-30,0.66,USD
KIM,Kimco Realty Corporation,2023-10-25,2023-09-30,0.1606,USD
KLAC,KLA Corp,2023-10-25,2023-09-30,5.41,USD
KMB,Kimberly-Clark Corp,2023-10-24,2023-09-30,1.57,USD
KMI,Kinder Morgan Inc - Class P,2023-10-17,2023-09-30,0.26,USD
KMX,Carmax Inc,2023-12-20,2023-11-30,0.5,USD
